ts,engine,step,file,stmt_no,statement,elapsed_ms,status,error
2026-09-08 00:21:20,starrocks,native-load,22-starrocks-native-load.sql,7,INSERT INTO tpch_tiny.orders SELECT * FROM iceberg.tpch_tiny.orders,9253.6,OK,
2026-09-08 00:21:34,starrocks,native-load,22-starrocks-native-load.sql,8,INSERT INTO tpch_tiny.lineitem SELECT * FROM iceberg.tpch_tiny.lineitem,14033.7,OK,
2026-09-08 00:21:45,starrocks,analyze,23-starrocks-analyze.sql,1,ANALYZE TABLE tpch_tiny.lineitem,11509.8,OK,
2026-09-08 00:21:51,starrocks,analyze,23-starrocks-analyze.sql,2,ANALYZE TABLE tpch_tiny.orders,5802.7,OK,
2026-09-08 00:21:51,starrocks,analyze,23-starrocks-analyze.sql,3,ANALYZE TABLE tpch_tiny.customer,146.6,OK,
2026-09-08 00:21:51,starrocks,analyze,23-starrocks-analyze.sql,4,ANALYZE TABLE tpch_tiny.part,158.3,OK,
2026-09-08 00:21:52,starrocks,analyze,23-starrocks-analyze.sql,5,ANALYZE TABLE tpch_tiny.partsupp,123.6,OK,
2026-09-08 00:21:52,starrocks,analyze,23-starrocks-analyze.sql,6,ANALYZE TABLE tpch_tiny.supplier,134.0,OK,
2026-09-08 00:21:52,starrocks,analyze,23-starrocks-analyze.sql,7,ANALYZE TABLE tpch_tiny.nation,91.6,OK,
2026-09-08 00:21:52,starrocks,analyze,23-starrocks-analyze.sql,8,ANALYZE TABLE tpch_tiny.region,102.4,OK,
2026-09-08 00:21:52,starrocks,mv,30-starrocks-mv.sql,1,CREATE MATERIALIZED VIEW IF NOT EXISTS tpch_tiny.mv_daily_revenue DISTRIBUTED BY,79.4,OK,
2026-09-08 00:21:52,starrocks,mv,30-starrocks-mv.sql,2,CREATE MATERIALIZED VIEW IF NOT EXISTS tpch_tiny.mv_nation_revenue DISTRIBUTED B,21.2,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,1,CREATE DATABASE IF NOT EXISTS tpch_tiny,2.9,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,2,"CREATE TABLE IF NOT EXISTS tpch_tiny.lineitem ( l_orderkey BIGINT NOT NULL, l_pa",3.1,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,3,"CREATE TABLE IF NOT EXISTS tpch_tiny.orders ( o_orderkey BIGINT NOT NULL, o_cust",2.5,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,4,"CREATE TABLE IF NOT EXISTS tpch_tiny.customer ( c_custkey INT NOT NULL, c_name V",2.5,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,5,"CREATE TABLE IF NOT EXISTS tpch_tiny.part ( p_partkey INT NOT NULL, p_name VARCH",2.4,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,6,"CREATE TABLE IF NOT EXISTS tpch_tiny.partsupp ( ps_partkey INT NOT NULL, ps_supp",2.2,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,7,"CREATE TABLE IF NOT EXISTS tpch_tiny.supplier ( s_suppkey INT NOT NULL, s_name V",2.1,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,8,"CREATE TABLE IF NOT EXISTS tpch_tiny.nation ( n_nationkey INT NOT NULL, n_name V",2.3,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,9,"CREATE TABLE IF NOT EXISTS tpch_tiny.region ( r_regionkey INT NOT NULL, r_name V",1.8,OK,
2026-09-08 00:24:18,starrocks,native-ddl,21-starrocks-native-tpch.sql,10,"CREATE TABLE IF NOT EXISTS tpch_tiny.lineitem_flat ( l_orderkey BIGINT NOT NULL,",10.9,OK,
2026-09-08 00:24:18,starrocks,native-load,22-starrocks-native-load.sql,1,INSERT INTO tpch_tiny.region SELECT * FROM iceberg.tpch_tiny.region,92.8,OK,
2026-09-08 00:24:18,starrocks,native-load,22-starrocks-native-load.sql,2,INSERT INTO tpch_tiny.nation SELECT * FROM iceberg.tpch_tiny.nation,106.3,OK,
2026-09-08 00:24:18,starrocks,native-load,22-starrocks-native-load.sql,3,INSERT INTO tpch_tiny.supplier SELECT * FROM iceberg.tpch_tiny.supplier,91.7,OK,
2026-09-08 00:24:19,starrocks,native-load,22-starrocks-native-load.sql,4,INSERT INTO tpch_tiny.part SELECT * FROM iceberg.tpch_tiny.part,105.5,OK,
2026-09-08 00:24:19,starrocks,native-load,22-starrocks-native-load.sql,5,INSERT INTO tpch_tiny.partsupp SELECT * FROM iceberg.tpch_tiny.partsupp,106.2,OK,
2026-09-08 00:24:19,starrocks,native-load,22-starrocks-native-load.sql,6,INSERT INTO tpch_tiny.customer SELECT * FROM iceberg.tpch_tiny.customer,99.0,OK,
2026-09-08 00:24:19,starrocks,native-load,22-starrocks-native-load.sql,7,INSERT INTO tpch_tiny.orders SELECT * FROM iceberg.tpch_tiny.orders,678.4,OK,
2026-09-08 00:24:21,starrocks,native-load,22-starrocks-native-load.sql,8,INSERT INTO tpch_tiny.lineitem SELECT * FROM iceberg.tpch_tiny.lineitem,1132.5,OK,
2026-09-08 00:24:21,starrocks,native-load,22-starrocks-native-load.sql,9,"INSERT INTO tpch_tiny.lineitem_flat ( l_orderkey, l_linenumber, l_shipdate, l_qu",656.9,OK,
2026-09-08 00:24:33,starrocks,analyze,23-starrocks-analyze.sql,1,ANALYZE TABLE tpch_tiny.lineitem,11737.1,OK,
2026-09-08 00:24:39,starrocks,analyze,23-starrocks-analyze.sql,2,ANALYZE TABLE tpch_tiny.orders,5996.2,OK,
2026-09-08 00:24:39,starrocks,analyze,23-starrocks-analyze.sql,3,ANALYZE TABLE tpch_tiny.customer,145.8,OK,
2026-09-08 00:24:39,starrocks,analyze,23-starrocks-analyze.sql,4,ANALYZE TABLE tpch_tiny.part,153.7,OK,
2026-09-08 00:24:39,starrocks,analyze,23-starrocks-analyze.sql,5,ANALYZE TABLE tpch_tiny.partsupp,122.9,OK,
2026-09-08 00:24:40,starrocks,analyze,23-starrocks-analyze.sql,6,ANALYZE TABLE tpch_tiny.supplier,124.5,OK,
2026-09-08 00:24:40,starrocks,analyze,23-starrocks-analyze.sql,7,ANALYZE TABLE tpch_tiny.nation,95.9,OK,
2026-09-08 00:24:40,starrocks,analyze,23-starrocks-analyze.sql,8,ANALYZE TABLE tpch_tiny.region,97.6,OK,
